,index,brand,name,price,Touchscreen,Gaming,os,warranty,display_inches,resolution_width,resolution_height,ram_gb,ram_type,rom_gb,rom_type,core_count,gpu_brand,gpu_name,cpu_gen,cpu_brand,cpu_name,rating
696,697.0,Dell,Dell Inspiron 15 3501 Laptop (11th Gen Core i5/ 16GB/ 1TB SSD/ Win11),90000.0,not-touchscreen,not-gaming,windows,1 ,15.6,1920.0,1080.0,16 ,DDR4,,SSD,4,Intel,Iris Xe Graphics,11,Intel,Intel Core i5 1135G7,60.0
697,698.0,Asus,Asus Vivobook 15 X1502ZA-EJ531WS Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),48580.0,not-touchscreen,not-gaming,windows,1 ,15.6,1920.0,1080.0,8 ,DDR4,512,SSD,10 ,Intel,Integrated UHD,12,Intel,Intel Core i5 1235U,
698,699.0,Dell,Dell Inspiron 5430 IN5430FR0KC001ORS1 Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11),63990.0,not-touchscreen,not-gaming,windows,1 ,14.0,1920.0,1080.0,8 ,LPDDR5,512,SSD,10 ,Intel,Iris Xe Graphics,13,Intel,Intel Core i5 1335U,
699,700.0,Lenovo,Lenovo IdeaPad 3 15ITL6 82H803LJIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),41990.0,not-touchscreen,not-gaming,windows,1 ,15.6,1920.0,1080.0,8 ,DDR4,512,SSD,4,Intel,Iris Xe Graphics,11,Intel,Intel Core i5 1155G7,63.0
700,701.0,Lenovo,Lenovo Legion Pro 7 2023 82WQ007TIN Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11 Home/ 12GB Graph),297990.0,not-touchscreen,gaming,windows,1 ,16.0,2560.0,1600.0,32 ,DDR5,,SSD,24 ,NVIDIA,12 GB  Geforce RTX 4080,13,Intel,Intel Core i9 13900HX,85.0
701,702.0,Lenovo,Lenovo IdeaPad Slim 5 82XD005RIN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),71990.0,not-touchscreen,not-gaming,windows,2 ,14.0,1920.0,1200.0,16 ,LPDDR5,512,SSD,8,Intel,Integrated  Iris Xe Graphics,13,Intel,Intel Core i5 13420H,
702,703.0,Lenovo,Lenovo Legion Slim 5 82YA00DXIN Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),140789.0,not-touchscreen,gaming,windows,1 ,16.0,2560.0,1600.0,16 ,DDR5,,SSD,10 ,NVIDIA,8 GB  GeForce RTX 4060,13,Intel,Intel Core i7 13620H,78.0
703,704.0,Lenovo,Lenovo Legion 5 Pro 82JQ010EIN Laptop (AMD Ryzen 7 5800H/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),103395.0,not-touchscreen,not-gaming,windows,1 ,16.0,2560.0,1600.0,16 ,DDR4,512,SSD,8,NVIDIA,6 GB  GeForce RTX 3060,5,AMD,AMD Ryzen 7 5800H,77.0
704,705.0,Lenovo,Lenovo IdeaPad 1 82VG00ESIN Laptop (AMD Ryzen 5 7520U / 8GB/ 512GB SSD/ Win11 Home),38990.0,not-touchscreen,not-gaming,windows,1 ,15.6,1920.0,1080.0,8 ,LPDDR5,512,SSD,4,AMD,Radeon 610M,7,AMD,AMD Ryzen 5 7520U,
705,706.0,Lenovo,Lenovo IdeaPad 5 Pro 82SN00F0IN Gaming Laptop (AMD Ryzen 7 6800HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),88990.0,not-touchscreen,gaming,windows,3 ,16.0,2560.0,1600.0,16 ,LPDDR5,512,SSD,8,NVIDIA,4 GB  GeForce RTX 3050,6,AMD,AMD Ryzen 7 6800HS,66.0
